Injection,Layer,TensorIndex,Bit
0,features.conv0,"(14, 0, 2, 1)",15
1,features.conv0,"(28, 0, 2, 0)",5
2,features.conv0,"(54, 0, 0, 0)",13
3,features.conv0,"(29, 2, 2, 0)",12
4,features.denseblock1.denselayer1.conv1,"(107, 28, 0, 0)",0
5,features.denseblock1.denselayer1.conv1,"(40, 54, 0, 0)",9
6,features.denseblock1.denselayer1.conv1,"(55, 43, 0, 0)",24
7,features.denseblock1.denselayer1.conv1,"(24, 45, 0, 0)",2
8,features.denseblock1.denselayer1.conv1,"(117, 15, 0, 0)",18
9,features.denseblock1.denselayer1.conv1,"(92, 24, 0, 0)",14
10,features.denseblock1.denselayer1.conv1,"(74, 10, 0, 0)",24
11,features.denseblock1.denselayer1.conv1,"(71, 58, 0, 0)",23
12,features.denseblock1.denselayer1.conv1,"(90, 26, 0, 0)",10
13,features.denseblock1.denselayer1.conv1,"(62, 20, 0, 0)",17
14,features.denseblock1.denselayer1.conv1,"(56, 41, 0, 0)",2
15,features.denseblock1.denselayer1.conv1,"(80, 51, 0, 0)",13
16,features.denseblock1.denselayer1.conv1,"(80, 27, 0, 0)",29
17,features.denseblock1.denselayer1.conv1,"(36, 33, 0, 0)",16
18,features.denseblock1.denselayer1.conv1,"(109, 51, 0, 0)",8
19,features.denseblock1.denselayer1.conv1,"(126, 11, 0, 0)",9
20,features.denseblock1.denselayer1.conv1,"(40, 54, 0, 0)",24
21,features.denseblock1.denselayer1.conv1,"(119, 32, 0, 0)",17
22,features.denseblock1.denselayer1.conv1,"(87, 14, 0, 0)",10
23,features.denseblock1.denselayer1.conv1,"(116, 0, 0, 0)",6
24,features.denseblock1.denselayer1.conv2,"(19, 50, 0, 1)",10
25,features.denseblock1.denselayer1.conv2,"(0, 82, 1, 0)",7
26,features.denseblock1.denselayer1.conv2,"(23, 78, 0, 0)",15
27,features.denseblock1.denselayer1.conv2,"(5, 21, 2, 1)",4
28,features.denseblock1.denselayer1.conv2,"(8, 32, 2, 1)",10
29,features.denseblock1.denselayer1.conv2,"(16, 108, 0, 2)",12
30,features.denseblock1.denselayer1.conv2,"(19, 102, 2, 2)",23
31,features.denseblock1.denselayer1.conv2,"(28, 115, 0, 0)",14
32,features.denseblock1.denselayer1.conv2,"(4, 86, 0, 2)",14
33,features.denseblock1.denselayer1.conv2,"(14, 1, 0, 2)",3
34,features.denseblock1.denselayer1.conv2,"(14, 17, 0, 1)",4
35,features.denseblock1.denselayer1.conv2,"(15, 71, 2, 1)",13
36,features.denseblock1.denselayer1.conv2,"(8, 121, 0, 1)",26
37,features.denseblock1.denselayer1.conv2,"(12, 24, 0, 2)",27
38,features.denseblock1.denselayer1.conv2,"(22, 108, 1, 1)",3
39,features.denseblock1.denselayer1.conv2,"(6, 15, 1, 2)",21
40,features.denseblock1.denselayer1.conv2,"(6, 63, 0, 0)",28
41,features.denseblock1.denselayer1.conv2,"(8, 108, 0, 1)",29
42,features.denseblock1.denselayer1.conv2,"(15, 19, 1, 2)",6
43,features.denseblock1.denselayer1.conv2,"(3, 3, 0, 0)",10
44,features.denseblock1.denselayer1.conv2,"(26, 124, 1, 0)",25
45,features.denseblock1.denselayer1.conv2,"(3, 42, 1, 0)",24
46,features.denseblock1.denselayer1.conv2,"(16, 116, 1, 1)",31
47,features.denseblock1.denselayer1.conv2,"(9, 48, 1, 0)",3
48,features.denseblock1.denselayer1.conv2,"(3, 80, 0, 0)",30
49,features.denseblock1.denselayer1.conv2,"(10, 14, 2, 0)",11
50,features.denseblock1.denselayer1.conv2,"(4, 17, 2, 0)",25
51,features.denseblock1.denselayer1.conv2,"(7, 63, 2, 2)",2
52,features.denseblock1.denselayer1.conv2,"(5, 107, 2, 2)",20
53,features.denseblock1.denselayer1.conv2,"(16, 52, 2, 2)",20
54,features.denseblock1.denselayer1.conv2,"(15, 67, 1, 0)",19
55,features.denseblock1.denselayer1.conv2,"(29, 80, 0, 0)",29
56,features.denseblock1.denselayer1.conv2,"(6, 18, 2, 0)",16
57,features.denseblock1.denselayer1.conv2,"(8, 89, 0, 0)",23
58,features.denseblock1.denselayer1.conv2,"(18, 40, 1, 2)",19
59,features.denseblock1.denselayer1.conv2,"(0, 76, 2, 0)",8
60,features.denseblock1.denselayer1.conv2,"(16, 29, 0, 2)",9
61,features.denseblock1.denselayer1.conv2,"(17, 72, 2, 0)",21
62,features.denseblock1.denselayer1.conv2,"(13, 67, 2, 1)",16
63,features.denseblock1.denselayer1.conv2,"(3, 23, 2, 1)",17
64,features.denseblock1.denselayer1.conv2,"(2, 0, 1, 0)",16
65,features.denseblock1.denselayer1.conv2,"(10, 113, 2, 2)",27
66,features.denseblock1.denselayer1.conv2,"(0, 28, 0, 2)",9
67,features.denseblock1.denselayer1.conv2,"(2, 94, 2, 2)",9
68,features.denseblock1.denselayer1.conv2,"(27, 32, 0, 1)",23
69,features.denseblock1.denselayer1.conv2,"(2, 91, 0, 2)",15
70,features.denseblock1.denselayer1.conv2,"(6, 90, 2, 1)",9
71,features.denseblock1.denselayer1.conv2,"(15, 41, 0, 1)",1
72,features.denseblock1.denselayer1.conv2,"(11, 85, 1, 2)",15
73,features.denseblock1.denselayer1.conv2,"(17, 40, 2, 0)",24
74,features.denseblock1.denselayer1.conv2,"(2, 120, 0, 0)",29
75,features.denseblock1.denselayer1.conv2,"(22, 78, 0, 0)",1
76,features.denseblock1.denselayer1.conv2,"(12, 102, 1, 1)",4
77,features.denseblock1.denselayer1.conv2,"(17, 89, 2, 2)",25
78,features.denseblock1.denselayer1.conv2,"(21, 7, 0, 1)",11
79,features.denseblock1.denselayer1.conv2,"(16, 9, 0, 2)",27
80,features.denseblock1.denselayer1.conv2,"(22, 80, 1, 2)",7
81,features.denseblock1.denselayer1.conv2,"(24, 48, 1, 0)",27
82,features.denseblock1.denselayer1.conv2,"(0, 50, 1, 1)",4
83,features.denseblock1.denselayer1.conv2,"(21, 80, 2, 0)",19
84,features.denseblock1.denselayer1.conv2,"(19, 104, 1, 1)",18
85,features.denseblock1.denselayer1.conv2,"(8, 49, 1, 2)",24
86,features.denseblock1.denselayer1.conv2,"(11, 77, 1, 2)",0
87,features.denseblock1.denselayer1.conv2,"(19, 73, 0, 1)",20
88,features.denseblock1.denselayer1.conv2,"(29, 113, 1, 2)",13
89,features.denseblock1.denselayer1.conv2,"(30, 43, 2, 0)",18
90,features.denseblock1.denselayer1.conv2,"(21, 23, 0, 2)",19
91,features.denseblock1.denselayer1.conv2,"(14, 50, 0, 0)",2
92,features.denseblock1.denselayer1.conv2,"(15, 121, 2, 0)",29
93,features.denseblock1.denselayer1.conv2,"(26, 49, 2, 2)",24
94,features.denseblock1.denselayer1.conv2,"(31, 102, 0, 0)",0
95,features.denseblock1.denselayer1.conv2,"(6, 108, 0, 0)",29
96,features.denseblock1.denselayer1.conv2,"(3, 63, 0, 1)",8
97,features.denseblock1.denselayer1.conv2,"(29, 81, 1, 2)",27
98,features.denseblock1.denselayer1.conv2,"(28, 40, 2, 1)",28
99,features.denseblock1.denselayer1.conv2,"(16, 63, 2, 1)",31
100,features.denseblock1.denselayer1.conv2,"(15, 70, 1, 0)",18
101,features.denseblock1.denselayer1.conv2,"(15, 69, 1, 1)",5
102,features.denseblock1.denselayer1.conv2,"(8, 38, 0, 1)",9
103,features.denseblock1.denselayer1.conv2,"(13, 16, 1, 1)",21
104,features.denseblock1.denselayer1.conv2,"(29, 106, 0, 0)",26
105,features.denseblock1.denselayer1.conv2,"(24, 5, 2, 1)",30
106,features.denseblock1.denselayer1.conv2,"(0, 90, 1, 1)",26
107,features.denseblock1.denselayer1.conv2,"(14, 124, 0, 1)",27
108,features.denseblock1.denselayer1.conv2,"(31, 7, 1, 1)",25
109,features.denseblock1.denselayer1.conv2,"(10, 119, 0, 2)",1
110,features.denseblock1.denselayer1.conv2,"(25, 6, 0, 2)",27
111,features.denseblock1.denselayer1.conv2,"(8, 118, 0, 0)",16
