Injection,Layer,TensorIndex,Bit
0,features.conv0,"(81, 0, 0, 2)",17
1,features.conv0,"(31, 0, 0, 2)",6
2,features.denseblock1.denselayer1.conv1,"(173, 94, 0, 0)",2
3,features.denseblock1.denselayer1.conv1,"(7, 11, 0, 0)",1
4,features.denseblock1.denselayer1.conv1,"(143, 25, 0, 0)",28
5,features.denseblock1.denselayer1.conv1,"(150, 35, 0, 0)",27
6,features.denseblock1.denselayer1.conv1,"(87, 35, 0, 0)",21
7,features.denseblock1.denselayer1.conv1,"(26, 11, 0, 0)",22
8,features.denseblock1.denselayer1.conv1,"(88, 77, 0, 0)",29
9,features.denseblock1.denselayer1.conv1,"(137, 15, 0, 0)",18
10,features.denseblock1.denselayer1.conv1,"(160, 79, 0, 0)",4
11,features.denseblock1.denselayer1.conv1,"(11, 84, 0, 0)",5
12,features.denseblock1.denselayer1.conv1,"(59, 12, 0, 0)",29
13,features.denseblock1.denselayer1.conv1,"(162, 46, 0, 0)",22
14,features.denseblock1.denselayer1.conv2,"(13, 171, 1, 2)",4
15,features.denseblock1.denselayer1.conv2,"(38, 162, 0, 2)",15
16,features.denseblock1.denselayer1.conv2,"(10, 118, 1, 1)",14
17,features.denseblock1.denselayer1.conv2,"(43, 83, 0, 0)",2
18,features.denseblock1.denselayer1.conv2,"(20, 102, 1, 0)",13
19,features.denseblock1.denselayer1.conv2,"(36, 183, 1, 0)",31
20,features.denseblock1.denselayer1.conv2,"(25, 164, 1, 0)",16
21,features.denseblock1.denselayer1.conv2,"(8, 63, 2, 2)",16
22,features.denseblock1.denselayer1.conv2,"(47, 149, 1, 2)",25
23,features.denseblock1.denselayer1.conv2,"(23, 56, 0, 2)",31
24,features.denseblock1.denselayer1.conv2,"(5, 12, 0, 0)",10
25,features.denseblock1.denselayer1.conv2,"(43, 108, 2, 0)",24
26,features.denseblock1.denselayer1.conv2,"(24, 152, 1, 2)",16
27,features.denseblock1.denselayer1.conv2,"(35, 2, 2, 2)",7
28,features.denseblock1.denselayer1.conv2,"(43, 137, 1, 2)",21
29,features.denseblock1.denselayer1.conv2,"(7, 75, 1, 0)",29
30,features.denseblock1.denselayer1.conv2,"(0, 184, 2, 1)",11
31,features.denseblock1.denselayer1.conv2,"(32, 27, 2, 1)",12
32,features.denseblock1.denselayer1.conv2,"(9, 95, 0, 2)",0
33,features.denseblock1.denselayer1.conv2,"(38, 82, 1, 0)",7
34,features.denseblock1.denselayer1.conv2,"(23, 78, 0, 0)",15
35,features.denseblock1.denselayer1.conv2,"(36, 20, 0, 2)",31
36,features.denseblock1.denselayer1.conv2,"(4, 136, 0, 0)",30
37,features.denseblock1.denselayer1.conv2,"(35, 42, 1, 2)",27
38,features.denseblock1.denselayer1.conv2,"(13, 138, 2, 2)",12
39,features.denseblock1.denselayer1.conv2,"(45, 79, 1, 2)",23
40,features.denseblock1.denselayer1.conv2,"(28, 132, 1, 0)",15
41,features.denseblock1.denselayer1.conv2,"(14, 16, 1, 0)",14
42,features.denseblock1.denselayer1.conv2,"(37, 56, 0, 0)",3
43,features.denseblock1.denselayer1.conv2,"(14, 17, 0, 1)",4
44,features.denseblock1.denselayer1.conv2,"(32, 60, 1, 2)",31
45,features.denseblock1.denselayer1.conv2,"(13, 138, 0, 2)",30
46,features.denseblock1.denselayer1.conv2,"(15, 121, 1, 0)",6
47,features.denseblock1.denselayer1.conv2,"(6, 168, 1, 1)",27
48,features.denseblock1.denselayer1.conv2,"(26, 119, 2, 0)",6
49,features.denseblock1.denselayer1.conv2,"(3, 103, 2, 1)",6
50,features.denseblock1.denselayer1.conv2,"(15, 49, 0, 2)",28
51,features.denseblock1.denselayer1.conv2,"(8, 108, 0, 1)",29
52,features.denseblock1.denselayer1.conv2,"(15, 19, 1, 2)",6
53,features.denseblock1.denselayer1.conv2,"(3, 166, 2, 0)",5
54,features.denseblock1.denselayer1.conv2,"(15, 42, 1, 1)",30
55,features.denseblock1.denselayer1.conv2,"(13, 102, 0, 0)",24
56,features.denseblock1.denselayer1.conv2,"(0, 99, 1, 1)",18
57,features.denseblock1.denselayer1.conv2,"(27, 178, 2, 2)",31
58,features.denseblock1.denselayer1.conv2,"(9, 48, 1, 0)",3
59,features.denseblock1.denselayer1.conv2,"(37, 188, 2, 0)",20
60,features.denseblock1.denselayer1.conv2,"(3, 12, 2, 1)",10
61,features.denseblock1.denselayer1.conv2,"(3, 130, 0, 0)",4
62,features.denseblock1.denselayer1.conv2,"(38, 17, 2, 0)",25
63,features.denseblock1.denselayer1.conv2,"(7, 145, 0, 2)",2
64,features.denseblock1.denselayer1.conv2,"(39, 20, 1, 2)",20
65,features.denseblock1.denselayer1.conv2,"(16, 52, 2, 2)",20
66,features.denseblock1.denselayer1.conv2,"(15, 67, 1, 0)",19
67,features.denseblock1.denselayer2.conv1,"(117, 80, 0, 0)",29
68,features.denseblock1.denselayer2.conv1,"(159, 25, 0, 0)",16
69,features.denseblock1.denselayer2.conv1,"(33, 89, 0, 0)",23
70,features.denseblock1.denselayer2.conv1,"(72, 40, 0, 0)",0
71,features.denseblock1.denselayer2.conv1,"(170, 141, 0, 0)",8
72,features.denseblock1.denselayer2.conv1,"(67, 29, 0, 0)",17
73,features.denseblock1.denselayer2.conv1,"(72, 53, 0, 0)",16
74,features.denseblock1.denselayer2.conv1,"(129, 125, 0, 0)",5
75,features.denseblock1.denselayer2.conv1,"(162, 108, 0, 0)",0
76,features.denseblock1.denselayer2.conv1,"(85, 33, 0, 0)",28
77,features.denseblock1.denselayer2.conv1,"(141, 109, 0, 0)",4
78,features.denseblock1.denselayer2.conv1,"(176, 38, 0, 0)",9
79,features.denseblock1.denselayer2.conv1,"(110, 32, 0, 0)",23
80,features.denseblock1.denselayer2.conv1,"(10, 91, 0, 0)",6
81,features.denseblock1.denselayer2.conv1,"(90, 143, 0, 0)",15
82,features.denseblock1.denselayer2.conv1,"(41, 45, 0, 0)",11
83,features.denseblock1.denselayer2.conv1,"(188, 85, 0, 0)",17
84,features.denseblock1.denselayer2.conv1,"(40, 27, 0, 0)",30
85,features.denseblock1.denselayer2.conv2,"(14, 51, 1, 1)",19
86,features.denseblock1.denselayer2.conv2,"(14, 57, 0, 2)",12
87,features.denseblock1.denselayer2.conv2,"(25, 84, 1, 0)",17
88,features.denseblock1.denselayer2.conv2,"(22, 164, 2, 1)",21
89,features.denseblock1.denselayer2.conv2,"(1, 29, 1, 0)",16
90,features.denseblock1.denselayer2.conv2,"(2, 27, 2, 1)",22
91,features.denseblock1.denselayer2.conv2,"(46, 80, 1, 2)",7
92,features.denseblock1.denselayer2.conv2,"(24, 147, 0, 1)",2
93,features.denseblock1.denselayer2.conv2,"(45, 111, 0, 2)",12
94,features.denseblock1.denselayer2.conv2,"(23, 110, 0, 2)",21
95,features.denseblock1.denselayer2.conv2,"(39, 80, 2, 0)",19
96,features.denseblock1.denselayer2.conv2,"(32, 79, 2, 1)",20
97,features.denseblock1.denselayer2.conv2,"(25, 178, 1, 2)",8
98,features.denseblock1.denselayer2.conv2,"(12, 107, 2, 1)",11
99,features.denseblock1.denselayer2.conv2,"(39, 145, 1, 1)",0
100,features.denseblock1.denselayer2.conv2,"(19, 73, 0, 1)",20
101,features.denseblock1.denselayer2.conv2,"(29, 113, 1, 2)",13
102,features.denseblock1.denselayer2.conv2,"(32, 121, 2, 0)",5
103,features.denseblock1.denselayer2.conv2,"(18, 131, 2, 2)",21
104,features.denseblock1.denselayer2.conv2,"(5, 60, 2, 1)",14
105,features.denseblock1.denselayer2.conv2,"(12, 37, 0, 0)",15
106,features.denseblock1.denselayer2.conv2,"(30, 156, 0, 1)",26
107,features.denseblock1.denselayer2.conv2,"(40, 147, 0, 2)",24
108,features.denseblock1.denselayer2.conv2,"(31, 102, 0, 0)",0
109,features.denseblock1.denselayer2.conv2,"(6, 108, 0, 0)",29
110,features.denseblock1.denselayer2.conv2,"(3, 142, 0, 0)",29
111,features.denseblock1.denselayer2.conv2,"(8, 118, 2, 2)",20
112,features.denseblock1.denselayer2.conv2,"(28, 156, 2, 2)",27
113,features.denseblock1.denselayer2.conv2,"(35, 114, 0, 2)",30
114,features.denseblock1.denselayer2.conv2,"(28, 66, 0, 2)",17
115,features.denseblock1.denselayer2.conv2,"(33, 124, 2, 0)",17
116,features.denseblock1.denselayer2.conv2,"(28, 19, 2, 1)",15
117,features.denseblock1.denselayer2.conv2,"(17, 85, 1, 2)",5
118,features.denseblock1.denselayer2.conv2,"(8, 38, 0, 1)",9
119,features.denseblock1.denselayer2.conv2,"(45, 54, 0, 1)",26
120,features.denseblock1.denselayer2.conv2,"(21, 138, 1, 1)",3
121,features.denseblock1.denselayer2.conv2,"(13, 107, 1, 2)",1
122,features.denseblock1.denselayer2.conv2,"(36, 97, 1, 0)",22
123,features.denseblock1.denselayer2.conv2,"(19, 99, 1, 2)",14
124,features.denseblock1.denselayer2.conv2,"(31, 56, 1, 1)",31
125,features.denseblock1.denselayer2.conv2,"(1, 99, 1, 2)",25
126,features.denseblock1.denselayer2.conv2,"(46, 42, 1, 0)",1
127,features.denseblock1.denselayer2.conv2,"(25, 151, 2, 2)",1
128,features.denseblock1.denselayer2.conv2,"(5, 164, 1, 0)",29
129,features.denseblock1.denselayer2.conv2,"(11, 12, 1, 1)",20
130,features.denseblock1.denselayer2.conv2,"(13, 116, 1, 1)",24
131,features.denseblock1.denselayer2.conv2,"(17, 107, 1, 0)",30
132,features.denseblock1.denselayer2.conv2,"(1, 191, 2, 0)",22
133,features.denseblock1.denselayer2.conv2,"(14, 166, 0, 2)",2
134,features.denseblock1.denselayer2.conv2,"(1, 63, 0, 0)",9
135,features.denseblock1.denselayer2.conv2,"(15, 32, 1, 2)",7
136,features.denseblock1.denselayer2.conv2,"(36, 55, 1, 2)",16
137,features.denseblock1.denselayer2.conv2,"(23, 42, 2, 2)",7
138,features.denseblock1.denselayer3.conv1,"(41, 79, 0, 0)",19
139,features.denseblock1.denselayer3.conv1,"(147, 173, 0, 0)",12
140,features.denseblock1.denselayer3.conv1,"(19, 151, 0, 0)",19
141,features.denseblock1.denselayer3.conv1,"(175, 153, 0, 0)",22
142,features.denseblock1.denselayer3.conv1,"(136, 109, 0, 0)",21
143,features.denseblock1.denselayer3.conv1,"(3, 107, 0, 0)",27
144,features.denseblock1.denselayer3.conv1,"(92, 162, 0, 0)",27
145,features.denseblock1.denselayer3.conv1,"(45, 187, 0, 0)",29
146,features.denseblock1.denselayer3.conv1,"(111, 187, 0, 0)",15
147,features.denseblock1.denselayer3.conv1,"(22, 71, 0, 0)",29
148,features.denseblock1.denselayer3.conv1,"(145, 156, 0, 0)",1
149,features.denseblock1.denselayer3.conv1,"(126, 83, 0, 0)",13
150,features.denseblock1.denselayer3.conv1,"(90, 66, 0, 0)",17
151,features.denseblock1.denselayer3.conv1,"(142, 2, 0, 0)",15
152,features.denseblock1.denselayer3.conv1,"(184, 104, 0, 0)",30
153,features.denseblock1.denselayer3.conv1,"(165, 182, 0, 0)",1
154,features.denseblock1.denselayer3.conv1,"(23, 75, 0, 0)",15
155,features.denseblock1.denselayer3.conv1,"(78, 169, 0, 0)",22
156,features.denseblock1.denselayer3.conv1,"(108, 190, 0, 0)",29
157,features.denseblock1.denselayer3.conv1,"(69, 78, 0, 0)",7
158,features.denseblock1.denselayer3.conv1,"(184, 49, 0, 0)",11
159,features.denseblock1.denselayer3.conv1,"(49, 55, 0, 0)",18
160,features.denseblock1.denselayer3.conv1,"(25, 49, 0, 0)",23
161,features.denseblock1.denselayer3.conv2,"(11, 77, 0, 2)",8
162,features.denseblock1.denselayer3.conv2,"(17, 11, 0, 2)",18
163,features.denseblock1.denselayer3.conv2,"(44, 32, 2, 1)",6
164,features.denseblock1.denselayer3.conv2,"(0, 146, 1, 1)",30
165,features.denseblock1.denselayer3.conv2,"(28, 87, 0, 0)",16
166,features.denseblock1.denselayer3.conv2,"(30, 29, 0, 1)",31
167,features.denseblock1.denselayer3.conv2,"(4, 147, 2, 2)",3
168,features.denseblock1.denselayer3.conv2,"(9, 38, 2, 1)",5
169,features.denseblock1.denselayer3.conv2,"(15, 30, 2, 1)",14
170,features.denseblock1.denselayer3.conv2,"(33, 97, 1, 1)",19
171,features.denseblock1.denselayer3.conv2,"(37, 109, 1, 2)",3
172,features.denseblock1.denselayer3.conv2,"(39, 189, 0, 0)",13
173,features.denseblock1.denselayer3.conv2,"(16, 169, 0, 0)",15
174,features.denseblock1.denselayer3.conv2,"(11, 141, 0, 0)",0
175,features.denseblock1.denselayer3.conv2,"(26, 115, 2, 2)",30
176,features.denseblock1.denselayer3.conv2,"(18, 8, 0, 1)",18
177,features.denseblock1.denselayer3.conv2,"(44, 116, 0, 2)",14
178,features.denseblock1.denselayer3.conv2,"(16, 160, 2, 2)",12
179,features.denseblock1.denselayer3.conv2,"(27, 29, 2, 0)",9
180,features.denseblock1.denselayer3.conv2,"(17, 36, 0, 0)",10
181,features.denseblock1.denselayer3.conv2,"(19, 152, 2, 2)",18
182,features.denseblock1.denselayer3.conv2,"(28, 31, 1, 2)",19
183,features.denseblock1.denselayer3.conv2,"(44, 103, 1, 2)",31
184,features.denseblock1.denselayer3.conv2,"(28, 20, 2, 0)",27
185,features.denseblock1.denselayer3.conv2,"(47, 82, 2, 1)",1
186,features.denseblock1.denselayer3.conv2,"(5, 58, 2, 2)",1
187,features.denseblock1.denselayer3.conv2,"(43, 68, 2, 0)",11
188,features.denseblock1.denselayer3.conv2,"(30, 132, 2, 1)",17
189,features.denseblock1.denselayer3.conv2,"(11, 149, 1, 2)",31
190,features.denseblock1.denselayer3.conv2,"(5, 120, 1, 1)",21
191,features.denseblock1.denselayer3.conv2,"(20, 171, 0, 0)",21
192,features.denseblock1.denselayer3.conv2,"(26, 177, 1, 1)",25
193,features.denseblock1.denselayer3.conv2,"(35, 9, 1, 0)",20
194,features.denseblock1.denselayer3.conv2,"(16, 82, 0, 1)",0
