Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 1, 0, 3)",15
1,conv2d,"(2, 0, 0, 7)",5
2,conv2d,"(0, 0, 0, 13)",13
3,conv2d,"(2, 0, 2, 7)",12
4,conv2d,"(1, 2, 0, 13)",17
5,conv2d,"(2, 1, 0, 0)",21
6,conv2d,"(0, 1, 0, 8)",6
7,conv2d,"(0, 1, 1, 2)",22
8,conv2d,"(2, 1, 0, 8)",7
9,conv2d,"(2, 1, 0, 12)",23
10,conv2d,"(0, 0, 2, 6)",14
11,conv2d_1,"(0, 0, 2, 9)",24
12,conv2d_1,"(2, 1, 14, 8)",10
13,conv2d_1,"(0, 2, 11, 11)",17
14,conv2d_1,"(2, 2, 5, 2)",15
15,conv2d_1,"(1, 1, 14, 5)",14
16,conv2d_1,"(0, 0, 1, 10)",20
17,conv2d_1,"(0, 0, 8, 12)",20
18,conv2d_1,"(1, 2, 15, 6)",29
19,conv2d_1,"(0, 0, 8, 4)",16
20,conv2d_1,"(1, 0, 12, 13)",8
21,conv2d_1,"(0, 0, 2, 15)",9
22,conv2d_1,"(2, 0, 13, 5)",24
23,conv2d_1,"(2, 1, 14, 12)",0
24,conv2d_1,"(2, 1, 8, 3)",7
25,conv2d_1,"(0, 1, 13, 9)",0
26,conv2d_1,"(2, 0, 5, 8)",19
27,conv2d_1,"(1, 0, 4, 6)",0
28,conv2d_1,"(0, 0, 15, 10)",23
29,conv2d_1,"(0, 0, 7, 9)",5
30,conv2d_1,"(0, 2, 15, 2)",8
31,conv2d_1,"(2, 0, 15, 4)",16
32,conv2d_1,"(2, 2, 6, 13)",12
33,conv2d_1,"(2, 2, 12, 9)",23
34,conv2d_1,"(0, 0, 14, 14)",14
35,conv2d_1,"(0, 2, 10, 2)",14
36,conv2d_1,"(0, 2, 0, 7)",3
37,conv2d_1,"(0, 1, 2, 7)",4
38,conv2d_1,"(2, 1, 8, 7)",13
39,conv2d_1,"(0, 1, 15, 4)",26
40,conv2d_1,"(0, 2, 3, 6)",27
41,conv2d_1,"(1, 1, 13, 11)",3
42,conv2d_1,"(1, 2, 1, 3)",21
43,conv2d_1,"(0, 0, 7, 3)",28
