Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 1, 0, 14)",15
1,conv2d,"(2, 0, 0, 28)",5
2,conv2d,"(0, 0, 0, 54)",13
3,conv2d,"(2, 0, 2, 29)",12
4,conv2d_1,"(0, 0, 28, 107)",0
5,conv2d_1,"(0, 0, 54, 40)",9
6,conv2d_1,"(0, 0, 43, 55)",24
7,conv2d_1,"(0, 0, 45, 24)",2
8,conv2d_1,"(0, 0, 15, 117)",18
9,conv2d_1,"(0, 0, 24, 92)",14
10,conv2d_1,"(0, 0, 10, 74)",24
11,conv2d_1,"(0, 0, 58, 71)",23
12,conv2d_1,"(0, 0, 26, 90)",10
13,conv2d_1,"(0, 0, 20, 62)",17
14,conv2d_1,"(0, 0, 41, 56)",2
15,conv2d_1,"(0, 0, 51, 80)",13
16,conv2d_1,"(0, 0, 27, 80)",29
17,conv2d_1,"(0, 0, 33, 36)",16
18,conv2d_1,"(0, 0, 51, 109)",8
19,conv2d_1,"(0, 0, 11, 126)",9
20,conv2d_1,"(0, 0, 54, 40)",24
21,conv2d_1,"(0, 0, 32, 119)",17
22,conv2d_1,"(0, 0, 14, 87)",10
23,conv2d_1,"(0, 0, 0, 116)",6
24,conv2d_2,"(0, 1, 50, 19)",10
25,conv2d_2,"(1, 0, 82, 0)",7
26,conv2d_2,"(0, 0, 78, 23)",15
27,conv2d_2,"(2, 1, 21, 5)",4
28,conv2d_2,"(2, 1, 32, 8)",10
29,conv2d_2,"(0, 2, 108, 16)",12
30,conv2d_2,"(2, 2, 102, 19)",23
31,conv2d_2,"(0, 0, 115, 28)",14
32,conv2d_2,"(0, 2, 86, 4)",14
33,conv2d_2,"(0, 2, 1, 14)",3
34,conv2d_2,"(0, 1, 17, 14)",4
35,conv2d_2,"(2, 1, 71, 15)",13
36,conv2d_2,"(0, 1, 121, 8)",26
37,conv2d_2,"(0, 2, 24, 12)",27
38,conv2d_2,"(1, 1, 108, 22)",3
39,conv2d_2,"(1, 2, 15, 6)",21
40,conv2d_2,"(0, 0, 63, 6)",28
41,conv2d_2,"(0, 1, 108, 8)",29
42,conv2d_2,"(1, 2, 19, 15)",6
43,conv2d_2,"(0, 0, 3, 3)",10
44,conv2d_2,"(1, 0, 124, 26)",25
45,conv2d_2,"(1, 0, 42, 3)",24
46,conv2d_2,"(1, 1, 116, 16)",31
47,conv2d_2,"(1, 0, 48, 9)",3
48,conv2d_2,"(0, 0, 80, 3)",30
49,conv2d_2,"(2, 0, 14, 10)",11
50,conv2d_2,"(2, 0, 17, 4)",25
51,conv2d_2,"(2, 2, 63, 7)",2
52,conv2d_2,"(2, 2, 107, 5)",20
53,conv2d_2,"(2, 2, 52, 16)",20
54,conv2d_2,"(1, 0, 67, 15)",19
55,conv2d_2,"(0, 0, 80, 29)",29
56,conv2d_2,"(2, 0, 18, 6)",16
57,conv2d_2,"(0, 0, 89, 8)",23
58,conv2d_2,"(1, 2, 40, 18)",19
59,conv2d_2,"(2, 0, 76, 0)",8
60,conv2d_2,"(0, 2, 29, 16)",9
61,conv2d_2,"(2, 0, 72, 17)",21
62,conv2d_2,"(2, 1, 67, 13)",16
63,conv2d_2,"(2, 1, 23, 3)",17
64,conv2d_2,"(1, 0, 0, 2)",16
65,conv2d_2,"(2, 2, 113, 10)",27
66,conv2d_2,"(0, 2, 28, 0)",9
67,conv2d_2,"(2, 2, 94, 2)",9
68,conv2d_2,"(0, 1, 32, 27)",23
69,conv2d_2,"(0, 2, 91, 2)",15
70,conv2d_2,"(2, 1, 90, 6)",9
71,conv2d_2,"(0, 1, 41, 15)",1
72,conv2d_2,"(1, 2, 85, 11)",15
73,conv2d_2,"(2, 0, 40, 17)",24
74,conv2d_2,"(0, 0, 120, 2)",29
75,conv2d_2,"(0, 0, 78, 22)",1
76,conv2d_2,"(1, 1, 102, 12)",4
77,conv2d_2,"(2, 2, 89, 17)",25
78,conv2d_2,"(0, 1, 7, 21)",11
79,conv2d_2,"(0, 2, 9, 16)",27
80,conv2d_2,"(1, 2, 80, 22)",7
81,conv2d_2,"(1, 0, 48, 24)",27
82,conv2d_2,"(1, 1, 50, 0)",4
83,conv2d_2,"(2, 0, 80, 21)",19
84,conv2d_2,"(1, 1, 104, 19)",18
85,conv2d_2,"(1, 2, 49, 8)",24
86,conv2d_2,"(1, 2, 77, 11)",0
87,conv2d_2,"(0, 1, 73, 19)",20
88,conv2d_2,"(1, 2, 113, 29)",13
89,conv2d_2,"(2, 0, 43, 30)",18
90,conv2d_2,"(0, 2, 23, 21)",19
91,conv2d_2,"(0, 0, 50, 14)",2
92,conv2d_2,"(2, 0, 121, 15)",29
93,conv2d_2,"(2, 2, 49, 26)",24
94,conv2d_2,"(0, 0, 102, 31)",0
95,conv2d_2,"(0, 0, 108, 6)",29
96,conv2d_2,"(0, 1, 63, 3)",8
97,conv2d_2,"(1, 2, 81, 29)",27
98,conv2d_2,"(2, 1, 40, 28)",28
99,conv2d_2,"(2, 1, 63, 16)",31
100,conv2d_2,"(1, 0, 70, 15)",18
101,conv2d_2,"(1, 1, 69, 15)",5
102,conv2d_2,"(0, 1, 38, 8)",9
103,conv2d_2,"(1, 1, 16, 13)",21
104,conv2d_2,"(0, 0, 106, 29)",26
105,conv2d_2,"(2, 1, 5, 24)",30
106,conv2d_2,"(1, 1, 90, 0)",26
