Injection,Layer,TensorIndex,Bit
0,conv1,"(3, 0, 2, 1)",15
1,conv1,"(7, 0, 2, 0)",5
2,conv1,"(13, 0, 0, 0)",13
3,conv1,"(7, 2, 2, 0)",12
4,conv1,"(13, 0, 1, 2)",17
5,conv1,"(0, 0, 2, 1)",21
6,conv1,"(8, 0, 0, 1)",6
7,conv1,"(2, 1, 0, 1)",22
8,conv1,"(8, 0, 2, 1)",7
9,conv1,"(12, 0, 2, 1)",23
10,conv1,"(6, 2, 0, 0)",14
11,conv1,"(9, 0, 0, 0)",24
12,conv1,"(8, 1, 2, 1)",10
13,conv1,"(11, 1, 0, 2)",17
14,conv1,"(2, 2, 2, 0)",15
15,conv1,"(5, 1, 1, 1)",14
16,conv1,"(10, 0, 0, 0)",20
17,conv1,"(12, 1, 0, 0)",20
18,conv1,"(6, 2, 1, 1)",29
19,conv1,"(4, 1, 0, 0)",16
20,conv1,"(13, 2, 1, 1)",14
21,conv1,"(4, 2, 1, 0)",3
22,conv1,"(3, 0, 2, 0)",27
23,conv1,"(2, 1, 1, 2)",29
24,conv1,"(8, 2, 0, 2)",7
25,conv1,"(8, 2, 1, 0)",18
26,conv1,"(13, 0, 1, 0)",16
27,layer1.0.conv1,"(5, 3, 2, 1)",12
28,layer1.0.conv1,"(4, 11, 0, 2)",0
29,layer1.0.conv1,"(10, 15, 0, 0)",23
30,layer1.0.conv1,"(9, 7, 0, 0)",5
31,layer1.0.conv1,"(2, 15, 0, 2)",8
32,layer1.0.conv1,"(4, 15, 2, 0)",16
33,layer1.0.conv1,"(13, 6, 2, 2)",12
34,layer1.0.conv1,"(9, 12, 2, 2)",23
35,layer1.0.conv1,"(14, 14, 0, 0)",14
36,layer1.0.conv1,"(2, 10, 0, 2)",14
37,layer1.0.conv1,"(7, 0, 0, 2)",3
38,layer1.0.conv1,"(7, 2, 0, 1)",4
39,layer1.0.conv1,"(7, 8, 2, 1)",13
40,layer1.0.conv1,"(4, 15, 0, 1)",26
41,layer1.0.conv1,"(6, 3, 0, 2)",27
42,layer1.0.conv1,"(11, 13, 1, 1)",3
43,layer1.0.conv1,"(3, 1, 1, 2)",21
44,layer1.0.conv1,"(3, 7, 0, 0)",28
45,layer1.0.conv1,"(4, 13, 0, 1)",29
46,layer1.0.conv1,"(7, 2, 1, 2)",6
47,layer1.0.conv1,"(1, 0, 0, 0)",10
48,layer1.0.conv1,"(13, 15, 1, 0)",25
49,layer1.0.conv1,"(1, 5, 1, 0)",24
50,layer1.0.conv1,"(8, 14, 1, 1)",31
51,layer1.0.conv1,"(4, 6, 1, 0)",3
52,layer1.0.conv1,"(1, 10, 0, 0)",30
53,layer1.0.conv1,"(5, 1, 2, 0)",11
54,layer1.0.conv1,"(2, 2, 2, 0)",25
55,layer1.0.conv1,"(3, 7, 2, 2)",2
56,layer1.0.conv1,"(2, 13, 2, 2)",20
57,layer1.0.conv1,"(8, 6, 2, 2)",20
