Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 1, 0, 7)",15
1,conv2d,"(2, 0, 0, 14)",5
2,conv2d,"(0, 0, 0, 27)",13
3,conv2d,"(2, 0, 2, 14)",12
4,conv2d,"(1, 2, 0, 26)",17
5,conv2d,"(2, 1, 0, 0)",21
6,conv2d_1,"(0, 0, 9, 17)",6
7,conv2d_1,"(0, 0, 24, 5)",22
8,conv2d_1,"(0, 0, 2, 16)",24
9,conv2d_1,"(0, 0, 18, 5)",4
10,conv2d_1,"(0, 0, 14, 2)",14
11,conv2d_1,"(0, 0, 24, 6)",23
12,conv2d_1,"(0, 0, 23, 10)",17
13,conv2d_1,"(0, 0, 10, 4)",29
14,conv2d_2,"(2, 2, 0, 24)",14
15,conv2d_2,"(0, 0, 0, 20)",20
16,conv2d_3,"(0, 0, 17, 12)",20
17,conv2d_3,"(0, 0, 31, 6)",9
18,conv2d_3,"(0, 0, 8, 8)",27
19,conv2d_3,"(0, 0, 23, 12)",31
20,conv2d_4,"(0, 0, 3, 2)",10
21,conv2d_4,"(0, 0, 4, 13)",29
22,conv2d_4,"(0, 0, 0, 8)",21
23,conv2d_4,"(0, 0, 18, 3)",29
24,conv2d_5,"(0, 0, 8, 0)",19
25,conv2d_5,"(0, 0, 6, 81)",10
26,conv2d_5,"(0, 0, 0, 69)",1
27,conv2d_5,"(0, 0, 11, 14)",3
28,conv2d_5,"(0, 0, 2, 30)",4
29,conv2d_5,"(0, 0, 4, 68)",10
30,conv2d_5,"(0, 0, 13, 33)",19
31,conv2d_5,"(0, 0, 11, 51)",7
32,conv2d_5,"(0, 0, 7, 31)",1
33,conv2d_5,"(0, 0, 7, 75)",4
34,conv2d_5,"(0, 0, 1, 90)",2
35,conv2d_6,"(2, 0, 0, 42)",17
36,conv2d_6,"(0, 2, 0, 85)",8
37,conv2d_6,"(0, 1, 0, 92)",26
38,conv2d_6,"(0, 2, 0, 24)",27
39,conv2d_6,"(1, 1, 0, 45)",3
40,conv2d_6,"(0, 1, 0, 86)",21
41,conv2d_7,"(0, 0, 31, 3)",28
42,conv2d_7,"(0, 0, 54, 4)",29
43,conv2d_7,"(0, 0, 9, 7)",3
44,conv2d_7,"(0, 0, 69, 20)",15
45,conv2d_7,"(0, 0, 52, 5)",13
46,conv2d_7,"(0, 0, 7, 12)",0
47,conv2d_7,"(0, 0, 33, 12)",27
48,conv2d_7,"(0, 0, 93, 22)",12
49,conv2d_7,"(0, 0, 27, 9)",20
50,conv2d_7,"(0, 0, 6, 1)",3
51,conv2d_7,"(0, 0, 10, 16)",4
52,conv2d_7,"(0, 0, 30, 21)",15
53,conv2d_7,"(0, 0, 76, 18)",26
54,conv2d_7,"(0, 0, 74, 21)",13
55,conv2d_7,"(0, 0, 91, 21)",16
