Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 1, 0, 3)",15
1,conv2d,"(2, 0, 0, 7)",5
2,conv2d,"(0, 0, 0, 13)",30
3,conv2d,"(2, 0, 2, 7)",12
4,conv2d,"(1, 2, 0, 13)",17
5,conv2d,"(2, 1, 0, 0)",21
6,conv2d,"(0, 1, 0, 8)",6
7,conv2d,"(0, 1, 1, 2)",22
8,conv2d,"(2, 1, 0, 8)",7
9,conv2d,"(2, 1, 0, 12)",23
10,conv2d,"(0, 0, 2, 6)",14
11,conv2d,"(0, 0, 0, 9)",24
12,conv2d,"(2, 1, 1, 8)",10
13,conv2d,"(0, 2, 1, 11)",17
14,conv2d,"(2, 0, 2, 2)",15
15,conv2d,"(1, 1, 1, 5)",14
16,conv2d,"(0, 0, 0, 10)",20
17,conv2d,"(0, 0, 1, 12)",20
18,conv2d,"(1, 1, 2, 6)",29
19,conv2d,"(0, 0, 1, 4)",16
20,conv2d,"(1, 1, 2, 13)",14
21,conv2d,"(1, 0, 2, 4)",3
22,conv2d,"(2, 0, 0, 3)",27
23,conv2d,"(1, 2, 1, 2)",29
24,conv2d,"(0, 2, 2, 8)",7
25,conv2d,"(1, 0, 2, 8)",18
26,conv2d,"(1, 0, 0, 13)",16
27,conv2d_1,"(2, 1, 3, 5)",12
28,conv2d_1,"(0, 2, 11, 4)",0
29,conv2d_1,"(0, 0, 15, 10)",23
30,conv2d_1,"(0, 0, 7, 9)",5
31,conv2d_1,"(0, 2, 15, 2)",8
32,conv2d_1,"(2, 0, 15, 4)",16
33,conv2d_1,"(2, 2, 6, 13)",12
34,conv2d_1,"(2, 2, 12, 9)",23
35,conv2d_1,"(0, 0, 14, 14)",14
36,conv2d_1,"(0, 2, 10, 2)",14
37,conv2d_1,"(0, 2, 0, 7)",3
38,conv2d_1,"(0, 1, 2, 7)",4
39,conv2d_1,"(2, 1, 8, 7)",13
40,conv2d_1,"(0, 1, 15, 4)",26
41,conv2d_1,"(0, 2, 3, 6)",27
42,conv2d_1,"(1, 1, 13, 11)",3
43,conv2d_1,"(1, 2, 1, 3)",21
44,conv2d_1,"(0, 0, 7, 3)",28
